left letter,middle letter,right letter,value
a,o,w,0.0
a,o,x,0.0
a,o,y,0.0
a,o,z,0.0
a,o, ,0.0
a,p,a,0.00010311789458610498
a,p,b,0.0
a,p,c,6.851687347913953e-07
a,p,d,0.0
a,p,e,8.564609184892441e-05
a,p,f,0.0
a,p,g,0.0
a,p,h,8.564609184892441e-06
a,p,i,8.461833874673731e-05
a,p,j,0.0
a,p,k,4.111012408748372e-06
a,p,l,4.7961811435397665e-06
a,p,m,0.0
a,p,n,0.0
a,p,o,0.0002168559045614766
a,p,p,0.000519015316604482
a,p,q,0.0
a,p,r,1.1990452858849416e-05
a,p,s,6.748912037695243e-05
a,p,t,0.00022267983880720345
a,p,u,0.0
a,p,v,0.0
a,p,w,0.0
a,p,x,0.0
a,p,y,0.0
a,p,z,0.0
a,p, ,4.35082146592536e-05
a,q,a,0.0
a,q,b,0.0
a,q,c,0.0
a,q,d,0.0
a,q,e,0.0
a,q,f,0.0
a,q,g,0.0
a,q,h,0.0
a,q,i,0.0
a,q,j,0.0
a,q,k,0.0
a,q,l,0.0
a,q,m,0.0
a,q,n,0.0
a,q,o,0.0
a,q,p,0.0
a,q,q,0.0
a,q,r,0.0
a,q,s,0.0
a,q,t,0.0
a,q,u,6.851687347913953e-07
a,q,v,0.0
a,q,w,0.0
a,q,x,0.0
a,q,y,0.0
a,q,z,0.0
a,q, ,0.0
a,r,a,0.00016409791198253917
a,r,b,1.4731127798014997e-05
a,r,c,0.00014148734373442312
a,r,d,0.0007697870735381326
a,r,e,0.0009174409358856783
a,r,f,1.4045959063223603e-05
a,r,g,0.00011408059434276731
a,r,h,3.4258436739569764e-07
a,r,i,0.00026413254726208286
a,r,j,0.0
a,r,k,0.0001565610558998338
a,r,l,0.00014251509683661022
a,r,m,0.0005125062136239636
a,r,n,7.331305462267929e-05
a,r,o,0.00011305284124058021
a,r,p,3.8026864780922434e-05
a,r,q,4.4535967761440695e-06
a,r,r,0.0003912313475658867
a,r,s,0.0002634473785272915
a,r,t,0.0006529658042561996
a,r,u,7.5368560827053476e-06
a,r,v,1.4045959063223603e-05
a,r,w,3.4258436739569764e-07
a,r,x,0.0
a,r,y,0.00048372912676272506
a,r,z,6.851687347913953e-07
a,r, ,0.0007207975090005478
a,s,a,0.000114423178710163
a,s,b,0.0
a,s,c,2.5008658819885926e-05
a,s,d,3.4258436739569764e-07
a,s,e,0.00025042917256625494
a,s,f,3.357326800477837e-05
a,s,g,3.4258436739569764e-07
a,s,h,0.0003055852557169623
a,s,i,0.00015587588716504242
a,s,j,0.0
a,s,k,0.00035320448278496427
a,s,l,2.8091918126447207e-05
a,s,m,1.2675621593640812e-05
a,s,n,1.1990452858849416e-05
a,s,o,0.00010448823205568777
a,s,p,2.9804839963425692e-05
a,s,q,6.851687347913953e-07
a,s,r,0.0
a,s,s,0.00041144382524223284
a,s,t,0.0004988028389281357
a,s,u,6.885945784653522e-05
a,s,v,3.4258436739569764e-07
a,s,w,3.4258436739569764e-07
a,s,x,0.0
a,s,y,2.6721580656864415e-05
a,s,z,0.0
a,s, ,0.004286758189222364
a,t,a,0.0001990415174569003
a,t,b,0.0
a,t,c,0.00011305284124058021
a,t,d,0.00024083681027917543
a,t,e,0.0009701989284646157
a,t,f,1.027753102187093e-06
a,t,g,0.0
a,t,h,0.00045563720863627785
a,t,i,0.0009095614954355771
a,t,j,3.4258436739569764e-07
a,t,k,0.0
